airport,total_delays_ct,longitude,latitude
CLT,47.0,-71.332733,42.463107
CMH,31.0,-93.1047756,37.6435334
CVG,76.0,10.927840369587262,44.6204085
DAB,17.0,74.4306076,32.7424496
DAL,17.0,18.9861778,45.4844796
DAY,14.0,-121.3744266,41.2115526
DCA,95.0,-77.0460178,38.8530365
DEN,202.0,-104.68536732610298,39.8606676
DFW,146.0,-97.052651,32.8169726
DLH,2.0,-118.38296762351402,33.93304755
DSM,22.0,-121.6883402,44.0033869
DTW,547.0,25.35,11.433333
ECP,19.0,-74.664062,40.33138
ELP,5.0,6.6432482,52.8820781
EUG,6.0,-123.214917964354,44.12416275
EVV,0.0,-87.53549639961464,38.0174294
EWR,72.0,-0.9808491474216804,51.9293628
EYW,12.0,-81.75961603475078,24.5554773
FAI,11.0,11.0689304,46.1793313
FAR,3.0,-7.9351771,37.0162727
FAY,6.0,2.80813,49.88527
FCA,3.0,13.746501716015452,41.49103425
FLL,184.0,-87.97114,46.424572
FSD,7.0,53.0982277,18.4596994
GEG,34.0,5.709592250000002,45.19402575
GFK,2.0,9.1612291,45.4509182
GNV,21.0,-77.0713713,-11.9344683
GPT,13.0,104.999927,35.000074
GRB,3.0,-1.0016453048843648,41.6424143
GRR,35.0,34.9405303,31.3248393
GSO,20.0,-112.1760442,33.4619044
GSP,29.0,-82.21722845651891,34.8954456
HNL,43.0,1.7524348584139826,52.4748963
HOU,21.0,118.9650909,36.9872437
HPN,3.0,106.6990686,10.9287173
HRL,1.0,76.5120396,10.3528744
HSV,25.0,19.42432223087173,51.7359606
IAD,33.0,-43.3744102,-21.7788848
IAH,135.0,-79.6311401,43.485555
ICT,4.0,11.1712504,10.3026067
ILM,2.0,-77.90953507173883,34.27353635
IND,54.0,-86.1746933,40.3270127
JAC,5.0,18.1360358,48.5918367
JAN,18.0,46.616195,35.174259
JAX,80.0,3.6168847,45.1683631
JFK,407.0,-73.7793733748521,40.6429479
JNU,2.0,77.167608,28.549507
KOA,5.0,140.5021749,-7.8965141
LAS,241.0,0.3098676,43.4697786
LAX,448.0,-83.1215404,31.4732507
LEX,13.0,-81.8003918,37.3703899
LGA,272.0,24.0216384,42.8814427
LIH,3.0,-159.33671538390365,21.97206585
LIT,20.0,-96.6719618,35.3481286
MCI,70.0,11.392882331230885,47.26281635
MCO,312.0,-100.91964965,29.44530225
MDT,7.0,-76.36139938663678,36.7778576
MDW,16.0,-99.412482,36.410372
MEM,56.0,-100.7712354,46.8397434
MIA,184.0,165.9807237,-21.5549167
MKE,39.0,15.115839336574236,48.8638011
MLB,16.0,2.147093452982922,48.9811975
MOB,4.0,4.3186855,6.4413385
MSN,17.0,56.0064125,26.7442307
MSO,4.0,70.8361025,40.0513912
MSP,552.0,57.1743114,50.2863237
MSY,123.0,138.58985442726532,-34.925185299999995
MYR,17.0,-78.92905970872894,33.680640600000004
OAJ,2.0,-84.06156710468028,9.9316554
OAK,7.0,-88.517825,37.5764379
OGG,5.0,-101.8901892,34.8353363
OKC,14.0,22.866730976243858,43.9818686
OMA,29.0,-7.3029907,54.5992486
ONT,29.0,-86.000977,50.000678
ORD,168.0,-94.0710625,41.2511017
ORF,46.0,-76.20229629965002,36.8946697
PBI,79.0,-121.6543791,36.673138050000006
PDX,54.0,-122.67777,45.5255102
PHL,44.0,102.6007983,15.8137152
PHX,100.0,-112.36551,33.409092
PIT,55.0,-1.1063789,44.4765421
PNS,33.0,18.23618521690468,49.8044351
PSC,3.0,-75.894495,41.23857235
PSP,1.0,44.8668457,41.6907
PVD,15.0,-71.4296527,41.72434
PWM,6.0,57.5610161,26.9297693
RDU,138.0,-78.79765,35.870371
RIC,38.0,22.5194504,41.4427241
RNO,4.0,30.7383222,57.9159394
ROA,8.0,1.0939658,49.4404591
ROC,15.0,-77.67269338979611,43.1161699
RST,6.0,49.5846102,37.2793607
RSW,66.0,6.4934556,49.9989624
SAN,79.0,3.282606,48.1978559
SAT,73.0,-7.7336741,40.7426067
SAV,34.0,30.645786,37.765446
SDF,29.0,48.5279462,34.7903513
SEA,309.0,126.9782914,37.5666791
SFO,160.0,9.780981751762262,54.92108795
SGF,13.0,3.8523111,43.5756415
SJC,26.0,-106.03875579447538,36.09509
SJU,38.0,11.417193959836451,58.11413
SLC,388.0,-51.20556320285798,-30.044138
SMF,26.0,57.49604476883336,-20.29515195
SNA,44.0,44.2,15.35
SRQ,25.0,47.7693841,39.8153407
STL,60.0,-90.37047024952082,38.74962725
STT,15.0,76.1188893,10.7005828
STX,0.0,121.31556076535524,39.5075108
SYR,28.0,43.166667,19.166667
TLH,22.0,-0.5715147,34.7797863
TPA,178.0,20.7851996,48.109792
TUL,10.0,1.7706797,45.2678347
TUS,15.0,59.5169387,36.4833014
TVC,10.0,13.400984544985985,-8.97796365
TYS,24.0,-83.99887165077078,35.809552999999994
VPS,25.0,-121.9844674,37.3787644
XNA,10.0,-94.30231731247596,36.279381150000006
ATL,399.0,-84.42927118585675,33.63779875
AUS,6.0,-97.66500963529676,30.19348925
BDL,38.0,4.5322123,36.4636178
BMI,0.0,11.43520439574488,49.49915355
BNA,27.0,44.7364245,35.5710071
BOS,6.0,22.8374152,45.7520158
BQN,14.0,91.4406019,53.72068
BUF,10.0,-78.73075229745353,42.9402016
BWI,84.0,4.1203454,12.7229649
CHS,2.0,-92.876885,40.729827
CID,2.0,-80.1059762,35.712047
CLE,121.0,-84.1566341,39.0678155
CLT,39.0,-71.332733,42.463107
CMH,5.0,-93.1047756,37.6435334
CVG,76.0,10.927840369587262,44.6204085
DCA,14.0,-77.0460178,38.8530365
DEN,551.0,-104.68536732610298,39.8606676
DFW,220.0,-97.052651,32.8169726
DSM,1.0,-121.6883402,44.0033869
DTW,49.0,25.35,11.433333
ELP,6.0,6.6432482,52.8820781
FAR,2.0,-7.9351771,37.0162727
FLL,66.0,-87.97114,46.424572
FSD,2.0,53.0982277,18.4596994
GRB,2.0,-1.0016453048843648,41.6424143
GRR,8.0,34.9405303,31.3248393
HOU,20.0,118.9650909,36.9872437
IAH,48.0,-79.6311401,43.485555
IND,17.0,-86.1746933,40.3270127
ISP,52.0,20.9669264,50.3191774
JAX,9.0,3.6168847,45.1683631
LAS,446.0,0.3098676,43.4697786
LGA,26.0,24.0216384,42.8814427
LIT,6.0,-96.6719618,35.3481286
MCI,2.0,11.392882331230885,47.26281635
MCO,492.0,-100.91964965,29.44530225
MDT,3.0,-76.36139938663678,36.7778576
MDW,85.0,-99.412482,36.410372
MEM,2.0,-100.7712354,46.8397434
MIA,85.0,165.9807237,-21.5549167
MKE,8.0,15.115839336574236,48.8638011
MSN,1.0,56.0064125,26.7442307
MSP,21.0,57.1743114,50.2863237
MSY,15.0,138.58985442726532,-34.925185299999995
MYR,5.0,-78.92905970872894,33.680640600000004
OAK,2.0,-88.517825,37.5764379
OKC,5.0,22.866730976243858,43.9818686
OMA,15.0,-7.3029907,54.5992486
ONT,70.0,-86.000977,50.000678
ORD,14.0,-94.0710625,41.2511017
ORF,9.0,-76.20229629965002,36.8946697
PBI,12.0,-121.6543791,36.673138050000006
PDX,20.0,-122.67777,45.5255102
PHL,256.0,102.6007983,15.8137152
PHX,164.0,-112.36551,33.409092
PIT,1.0,-1.1063789,44.4765421
PNS,6.0,18.23618521690468,49.8044351
PSE,5.0,0.5024554,46.9700014
PWM,2.0,57.5610161,26.9297693
RDU,94.0,-78.79765,35.870371
ROC,0.0,-77.67269338979611,43.1161699
RSW,27.0,6.4934556,49.9989624
SAN,75.0,3.282606,48.1978559
SAT,20.0,-7.7336741,40.7426067
SAV,5.0,30.645786,37.765446
SEA,24.0,126.9782914,37.5666791
SFO,96.0,9.780981751762262,54.92108795
SJU,155.0,11.417193959836451,58.11413
SLC,52.0,-51.20556320285798,-30.044138
SMF,2.0,57.49604476883336,-20.29515195
SNA,34.0,44.2,15.35
SRQ,0.0,47.7693841,39.8153407
STL,31.0,-90.37047024952082,38.74962725
SWF,1.0,35.8386891,32.3133303
SYR,9.0,43.166667,19.166667
TPA,145.0,20.7851996,48.109792
TTN,58.0,35.209317,29.426335
TYS,4.0,-83.99887165077078,35.809552999999994
XNA,1.0,-94.30231731247596,36.279381150000006
ABE,23.0,-84.3743929,40.1658829
ALB,4.0,-115.002136,55.001251
ATW,28.0,43.777669,13.770767
AUS,21.0,-97.66500963529676,30.19348925
AVL,52.0,15.422190596309871,47.0795199
AZA,67.0,45.8253344,38.9303553
BGR,5.0,-68.798961,44.827739
BIL,6.0,7.2439029,47.1402077
BIS,5.0,16.165472532604653,43.0434206
BLI,11.0,48.4078382,55.4673327
BLV,12.0,-98.68993,36.797757
BMI,2.0,11.43520439574488,49.49915355
BNA,72.0,44.7364245,35.5710071
BOI,12.0,9.495278,9.568333
BOS,4.0,22.8374152,45.7520158
BWI,2.0,4.1203454,12.7229649
BZN,4.0,26.1066426,43.7371465
CAK,6.0,16.5136076,47.353935
CHA,9.0,91.5017422,29.7583709
CHS,1.0,-92.876885,40.729827
CID,6.0,-80.1059762,35.712047
CKB,3.0,19.2631112,42.4343313
CVG,70.0,10.927840369587262,44.6204085
DAY,2.0,-121.3744266,41.2115526
DEN,2.0,-104.68536732610298,39.8606676
DSM,40.0,-121.6883402,44.0033869
ELM,0.0,-76.3488476,40.2039825
ELP,5.0,6.6432482,52.8820781
EUG,3.0,-123.214917964354,44.12416275
EVV,3.0,-87.53549639961464,38.0174294
EWR,5.0,-0.9808491474216804,51.9293628
EYW,6.0,-81.75961603475078,24.5554773
FAR,3.0,-7.9351771,37.0162727
FAT,18.0,124.6290998,-9.9020987
FCA,7.0,13.746501716015452,41.49103425
FLL,73.0,-87.97114,46.424572
FNT,29.0,10.1704954,48.9530122
FSD,13.0,53.0982277,18.4596994
FWA,5.0,36.703949,35.9823472
GEG,7.0,5.709592250000002,45.19402575
GFK,2.0,9.1612291,45.4509182
GJT,4.0,-108.52444920306618,39.1234158
GPT,0.0,104.999927,35.000074
GRI,2.0,20.069851,42.2999256
GRR,24.0,34.9405303,31.3248393
